North Atlantic Oscillation (NAO)	
Date	Value
195001	0.92
195002	0.4
195003	-0.36
195004	0.73
195005	-0.59
195006	-0.06
195007	-1.26
195008	-0.05
195009	0.25
195010	0.85
195011	-1.26
195012	-1.02
195101	0.08
195102	0.7
195103	-1.02
195104	-0.22
195105	-0.59
195106	-1.64
195107	1.37
195108	-0.22
195109	-1.36
195110	1.87
195111	-0.39
195112	1.32
195201	0.93
195202	-0.83
195203	-1.49
195204	1.01
195205	-1.12
195206	-0.4
195207	-0.09
195208	-0.28
195209	-0.54
195210	-0.73
195211	-1.13
195212	-0.43
195301	0.33
195302	-0.49
195303	-0.04
195304	-1.67
195305	-0.66
195306	1.09
195307	0.4
195308	-0.71
195309	-0.35
195310	1.32
195311	1.04
195312	-0.47
195401	0.37
195402	0.74
195403	-0.83
195404	1.34
195405	-0.09
195406	-0.25
195407	-0.6
195408	-1.9
195409	-0.44
195410	0.6
195411	0.4
195412	0.69
195501	-1.84
195502	-1.12
195503	-0.53
195504	-0.42
195505	-0.34
195506	-1.1
195507	1.76
195508	1.07
195509	0.32
195510	-1.47
195511	-1.29
195512	0.17
195601	-0.22
195602	-1.12
195603	-0.05
195604	-1.06
195605	2.21
195606	0.1
195607	-0.75
195608	-1.37
195609	0.24
195610	0.88
195611	0.51
195612	0.1
195701	1.05
195702	0.11
195703	-1.26
195704	0.49
195705	-0.79
195706	-0.72
195707	-1.19
195708	-0.55
195709	-1.66
195710	1.32
195711	0.73
195712	0.12
195801	-0.54
195802	-1.06
195803	-1.96
195804	0.37
195805	-0.24
195806	-1.38
195807	-1.73
195808	-1.56
195809	-0.07
195810	0.16
195811	1.64
195812	-0.7
195901	-0.87
195902	0.68
195903	-0.15
195904	0.36
195905	0.39
195906	0.4
195907	0.74
195908	0.06
195909	0.88
195910	0.89
195911	0.41
195912	0.44
196001	-1.29
196002	-1.89
196003	-0.5
196004	1.36
196005	0.45
196006	-0.21
196007	0.35
196008	-1.4
196009	0.39
196010	-1.73
196011	-0.51
196012	0.06
196101	0.41
196102	0.45
196103	0.55
196104	-1.55
196105	-0.36
196106	0.86
196107	-0.39
196108	0.9
196109	1.24
196110	0.51
196111	-0.62
196112	-1.48
196201	0.61
196202	0.55
196203	-2.47
196204	0.99
196205	-0.1
196206	0.16
196207	-2.47
196208	0.14
196209	-0.37
196210	0.41
196211	-0.23
196212	-1.32
196301	-2.12
196302	-0.96
196303	-0.43
196304	-1.35
196305	2.16
196306	-0.43
196307	-0.77
196308	-0.64
196309	1.79
196310	0.94
196311	-1.27
