Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1950,-1.19,-1.08,-0.96,-1.0,-0.99,-0.75,-0.38,-0.32,-0.29,-0.38,-0.36,-0.5
1951,-0.28,0.09,0.48,0.63,0.59,0.69,0.79,0.97,1.04,0.98,0.94,0.71
1952,0.65,0.33,0.46,0.24,-0.03,-0.45,-0.41,-0.14,0.08,0.04,-0.1,0.1
1953,0.4,0.67,0.68,0.72,0.94,0.84,0.68,0.73,0.65,0.84,0.57,0.66
1954,0.63,0.63,0.31,-0.02,-0.24,-0.21,-0.45,-0.62,-0.54,-0.31,-0.09,-0.18
1955,-0.12,-0.14,-0.13,-0.38,-0.36,-0.52,-0.4,-0.7,-0.9,-1.31,-1.4,-1.31
1956,-0.81,-0.4,-0.12,-0.09,-0.03,-0.01,-0.15,-0.18,-0.12,-0.14,-0.14,-0.17
1957,0.0,0.22,0.53,0.83,0.88,0.9,1.03,1.05,1.14,1.16,1.45,1.75
1958,1.89,1.79,1.31,0.95,0.66,0.56,0.45,0.26,0.23,0.24,0.36,0.64
1959,0.77,0.83,0.64,0.48,0.33,0.09,-0.11,-0.23,-0.07,0.04,0.24,0.22
1960,0.2,0.19,0.21,0.25,0.16,0.06,0.12,0.2,0.26,0.08,-0.07,-0.09
1961,0.03,0.08,0.03,0.06,0.24,0.3,0.2,-0.07,-0.23,-0.16,-0.06,0.02
1962,-0.01,-0.01,0.0,-0.16,-0.17,-0.14,0.01,-0.1,-0.15,-0.3,-0.29,-0.37
1963,-0.29,-0.12,0.04,0.06,0.01,0.37,0.73,1.08,1.07,1.06,1.11,1.07
1964,1.0,0.6,0.1,-0.37,-0.66,-0.66,-0.59,-0.55,-0.53,-0.64,-0.58,-0.48
1965,-0.16,0.1,0.22,0.36,0.64,1.01,1.33,1.49,1.76,1.86,1.99,1.81
1966,1.53,1.29,1.04,0.59,0.31,0.22,0.32,0.19,0.0,-0.03,-0.12,-0.22
1967,-0.26,-0.24,-0.35,-0.31,-0.09,0.21,0.25,-0.01,-0.11,-0.08,0.01,-0.03
1968,-0.23,-0.36,-0.32,-0.26,0.07,0.32,0.56,0.46,0.39,0.56,0.74,1.02
1969,1.07,1.0,0.67,0.44,0.37,0.3,0.28,0.34,0.57,0.67,0.81,0.68
1970,0.46,0.21,0.24,0.24,0.12,-0.23,-0.47,-0.64,-0.55,-0.57,-0.55,-0.85
1971,-0.95,-1.0,-0.78,-0.57,-0.48,-0.37,-0.3,-0.25,-0.3,-0.4,-0.41,-0.38
