Relative Oceanic Nino Index (RONI)
Date	Value
195001  -1.19
195002  -1.08
195003  -0.96
195004  -1.0
195005  -0.99
195006  -0.75
195007  -0.38
195008  -0.32
195009  -0.29
195010  -0.38
195011  -0.36
195012  -0.5
195101  -0.28
195102  0.09
195103  0.48
195104  0.63
195105  0.59
195106  0.69
195107  0.79
195108  0.97
195109  1.04
195110  0.98
195111  0.94
195112  0.71
195201  0.65
195202  0.33
195203  0.46
195204  0.24
195205  -0.03
195206  -0.45
195207  -0.41
195208  -0.14
195209  0.08
195210  0.04
195211  -0.1
195212  0.1
195301  0.4
195302  0.67
195303  0.68
195304  0.72
195305  0.94
195306  0.84
195307  0.68
195308  0.73
195309  0.65
195310  0.84
195311  0.57
195312  0.66
195401  0.63
195402  0.63
195403  0.31
195404  -0.02
195405  -0.24
195406  -0.21
195407  -0.45
195408  -0.62
195409  -0.54
195410  -0.31
195411  -0.09
195412  -0.18
195501  -0.12
195502  -0.14
195503  -0.13
195504  -0.38
195505  -0.36
195506  -0.52
195507  -0.4
195508  -0.7
195509  -0.9
195510  -1.31
195511  -1.4
195512  -1.31
195601  -0.81
195602  -0.4
195603  -0.12
195604  -0.09
195605  -0.03
195606  -0.01
195607  -0.15
195608  -0.18
195609  -0.12
195610  -0.14
195611  -0.14
195612  -0.17
195701  0.0
195702  0.22
195703  0.53
195704  0.83
195705  0.88
195706  0.9
195707  1.03
195708  1.05
195709  1.14
195710  1.16
195711  1.45
195712  1.75
195801  1.89
195802  1.79
195803  1.31
195804  0.95
195805  0.66
195806  0.56
195807  0.45
195808  0.26
195809  0.23
195810  0.24
195811  0.36
195812  0.64
195901  0.77
195902  0.83
195903  0.64
195904  0.48
195905  0.33
195906  0.09
195907  -0.11
195908  -0.23
195909  -0.07
195910  0.04
195911  0.24
195912  0.22
196001  0.2
196002  0.19
196003  0.21
196004  0.25
196005  0.16
196006  0.06
196007  0.12
196008  0.2
196009  0.26
196010  0.08
196011  -0.07
196012  -0.09
196101  0.03
196102  0.08
196103  0.03
196104  0.06
196105  0.24
196106  0.3
196107  0.2
196108  -0.07
196109  -0.23
196110  -0.16
196111  -0.06
196112  0.02
196201  -0.01
196202  -0.01
196203  0.0
196204  -0.16
196205  -0.17
196206  -0.14
196207  0.01
196208  -0.1
196209  -0.15
196210  -0.3
196211  -0.29
196212  -0.37
196301  -0.29
196302  -0.12
196303  0.04
196304  0.06
196305  0.01
196306  0.37
196307  0.73
196308  1.08
196309  1.07
196310  1.06
196311  1.11
196312  1.07
196401  1.0
196402  0.6
196403  0.1
196404  -0.37
196405  -0.66
196406  -0.66
196407  -0.59
196408  -0.55
196409  -0.53
196410  -0.64
196411  -0.58
196412  -0.48
196501  -0.16
196502  0.1
196503  0.22
196504  0.36
196505  0.64
196506  1.01
196507  1.33
196508  1.49
196509  1.76
196510  1.86
196511  1.99
196512  1.81
196601  1.53
196602  1.29
196603  1.04
196604  0.59
196605  0.31
196606  0.22
196607  0.32
196608  0.19
196609  0.0
196610  -0.03
196611  -0.12
196612  -0.22
196701  -0.26
196702  -0.24
196703  -0.35
196704  -0.31
196705  -0.09
196706  0.21
196707  0.25
196708  -0.01
196709  -0.11
196710  -0.08
196711  0.01
196712  -0.03
196801  -0.23
196802  -0.36
196803  -0.32
196804  -0.26
196805  0.07
196806  0.32
196807  0.56
196808  0.46
196809  0.39
196810  0.56
196811  0.74
196812  1.02
196901  1.07
196902  1.0
196903  0.67
196904  0.44
196905  0.37
196906  0.3
196907  0.28
196908  0.34
196909  0.57
196910  0.67
196911  0.81
196912  0.68
197001  0.46
197002  0.21
197003  0.24
197004  0.24
197005  0.12
197006  -0.23
197007  -0.47
197008  -0.64
197009  -0.55
197010  -0.57
197011  -0.55
197012  -0.85
197101  -0.95
197102  -1.0
197103  -0.78
197104  -0.57
197105  -0.48
197106  -0.37
197107  -0.3
197108  -0.25
197109  -0.3
197110  -0.4
197111  -0.41
197112  -0.38
197201  -0.21
197202  0.03
197203  0.32
197204  0.51
197205  0.66
197206  0.87
197207  1.14
197208  1.4
197209  1.64
197210  1.82
197211  1.97
197212  1.88
197301  1.69
197302  1.25
197303  0.58
197304  -0.17
197305  -0.73
197306  -0.98
197307  -1.1
197308  -1.19
197309  -1.3
197310  -1.63
197311  -1.86
197312  -1.91
197401  -1.6
197402  -1.28
197403  -0.97
197404  -0.84
197405  -0.57
197406  -0.5
197407  -0.27
197408  -0.21
197409  -0.24
197410  -0.45
197411  -0.59
197412  -0.35
