Date,maxt,mint,avgt,departure_temperatrue,hdd,cdd,precipitation,new_snow,snow_depth
2024-09-01,93,72,82.5,2,0,18,T,0,0
2024-09-02,93,73,83,2.6,0,18,T,0,0
2024-09-03,92,72,82,1.6,0,17,0.13,0,0
2024-09-04,89,75,82,1.7,0,17,0.01,0,0
2024-09-05,91,74,82.5,2.3,0,18,1.52,0,0
2024-09-06,89,73,81,0.9,0,16,1.25,0,0
2024-09-07,85,73,79,-1,0,14,0,0,0
2024-09-08,84,74,79,-0.9,0,14,1.54,0,0
2024-09-09,87,74,80.5,0.7,0,16,0.01,0,0
2024-09-10,85,74,79.5,-0.2,0,15,0.06,0,0
2024-09-11,85,74,79.5,-0.1,0,15,0.05,0,0
2024-09-12,81,71,76,-3.4,0,11,0.02,0,0
2024-09-13,80,71,75.5,-3.8,0,11,0.17,0,0
2024-09-14,87,74,80.5,1.3,0,16,0,0,0
2024-09-15,85,73,79,0,0,14,T,0,0
2024-09-16,81,70,75.5,-3.4,0,11,0,0,0
2024-09-17,87,67,77,-1.8,0,12,0,0,0
2024-09-18,89,70,79.5,0.9,0,15,0.25,0,0
2024-09-19,90,70,80,1.6,0,15,0,0,0
2024-09-20,89,70,79.5,1.2,0,15,0,0,0
2024-09-21,90,67,78.5,0.4,0,14,0,0,0
2024-09-22,90,65,77.5,-0.4,0,13,0,0,0
2024-09-23,91,66,78.5,0.8,0,14,0,0,0
2024-09-24,90,67,78.5,1,0,14,0,0,0
2024-09-25,88,71,79.5,2.2,0,15,1.44,0,0
2024-09-26,86,75,80.5,3.4,0,16,0.58,0,0
2024-09-27,87,72,79.5,2.6,0,15,0.25,0,0
2024-09-28,86,72,79,2.3,0,14,0.13,0,0
2024-09-29,89,71,80,3.6,0,15,0,0,0
2024-09-30,86,70,78,1.8,0,13,0.2,0,0
