Date,maxt,mint,avgt,departure_temperatrue,hdd,cdd,precipitation,new_snow,snow_depth
9/1/24,93,72,82.5,2,0,18,T,0,0
9/2/24,93,73,83,2.6,0,18,T,0,0
9/3/24,92,72,82,1.6,0,17,0.13,0,0
9/4/24,89,75,82,1.7,0,17,0.01,0,0
9/5/24,91,74,82.5,2.3,0,18,1.52,0,0
9/6/24,89,73,81,0.9,0,16,1.25,0,0
9/7/24,85,73,79,-1,0,14,0,0,0
9/8/24,84,74,79,-0.9,0,14,1.54,0,0
9/9/24,87,74,80.5,0.7,0,16,0.01,0,0
9/10/24,85,74,79.5,-0.2,0,15,0.06,0,0
9/11/24,85,74,79.5,-0.1,0,15,0.05,0,0
9/12/24,81,71,76,-3.4,0,11,0.02,0,0
9/13/24,80,71,75.5,-3.8,0,11,0.17,0,0
9/14/24,87,74,80.5,1.3,0,16,0,0,0
9/15/24,85,73,79,0,0,14,T,0,0
9/16/24,81,70,75.5,-3.4,0,11,0,0,0
9/17/24,87,67,77,-1.8,0,12,0,0,0
9/18/24,89,70,79.5,0.9,0,15,0.25,0,0
9/19/24,90,70,80,1.6,0,15,0,0,0
9/20/24,89,70,79.5,1.2,0,15,0,0,0
9/21/24,90,67,78.5,0.4,0,14,0,0,0
9/22/24,90,65,77.5,-0.4,0,13,0,0,0
9/23/24,91,66,78.5,0.8,0,14,0,0,0
9/24/24,90,67,78.5,1,0,14,0,0,0
9/25/24,88,71,79.5,2.2,0,15,1.44,0,0
9/26/24,86,75,80.5,3.4,0,16,0.58,0,0
9/27/24,87,72,79.5,2.6,0,15,0.25,0,0
9/28/24,86,72,79,2.3,0,14,0.13,0,0
9/29/24,89,71,80,3.6,0,15,0,0,0
9/30/24,86,70,78,1.8,0,13,0.2,0,0
10/1/24,88,73,80.5,4.6,0,16,0,0,0
10/2/24,90,72,81,5.3,0,16,0,0,0
10/3/24,90,69,79.5,4.1,0,15,0,0,0
10/4/24,91,73,82,6.9,0,17,1.27,0,0
10/5/24,87,73,80,5.1,0,15,0.24,0,0
10/6/24,78,70,74,-0.6,0,9,0.98,0,0
10/7/24,75,69,72,-2.3,0,7,0.12,0,0
10/8/24,85,66,75.5,1.5,0,11,T,0,0
10/9/24,74,70,72,-1.7,0,7,2,0,0
10/10/24,78,65,71.5,-1.9,0,7,0.18,0,0
10/11/24,81,58,69.5,-3.6,0,5,0,0,0
10/12/24,82,59,70.5,-2.2,0,6,0,0,0
10/13/24,84,58,71,-1.4,0,6,0,0,0
10/14/24,85,57,71,-1.1,0,6,0,0,0
10/15/24,82,62,72,0.2,0,7,0,0,0
10/16/24,69,51,60,-11.4,5,0,0,0,0
10/17/24,70,47,58.5,-12.6,6,0,0,0,0
10/18/24,76,51,63.5,-7.3,1,0,0,0,0
10/19/24,78,60,69,-1.4,0,4,T,0,0
10/20/24,78,60,69,-1.1,0,4,0,0,0
10/21/24,82,55,68.5,-1.3,0,4,0,0,0
10/22/24,84,65,74.5,5.1,0,10,0,0,0
10/23/24,83,59,71,1.9,0,6,0,0,0
10/24/24,84,56,70,1.3,0,5,0,0,0
10/25/24,85,57,71,2.6,0,6,0,0,0
10/26/24,85,57,71,2.9,0,6,0,0,0
10/27/24,84,57,70.5,2.7,0,6,0,0,0
10/28/24,80,62,71,3.6,0,6,0,0,0
10/29/24,82,61,71.5,4.4,0,7,T,0,0
10/30/24,85,62,73.5,6.7,0,9,0,0,0
10/31/24,85,58,71.5,5,0,7,0,0,0
